feature,importance
Age,0.38006624156358026
NumOfProducts,0.2790878385100063
EngagementProductScore,0.07434115059576364
Balance,0.06982717366394502
IsActiveMember,0.05132883871513456
Geography_Germany,0.049498108910635094
BalanceSalaryRatio,0.026841717830815837
CreditScore,0.01904854147510466
EstimatedSalary,0.018175136922816963
Gender_Male,0.012711358308569422
AgeTenureInteraction,0.011353759397025803
ProductDensity,0.0043370534377856155
IsZeroBalance,0.0012094007224290645
HasCrCard,0.0010882862475340375
Tenure,0.000648774216135773
Geography_Spain,0.00043661948271796235
