feature,mean_abs_shap
NumOfProducts,0.7841663953609773
Age,0.7199559695321261
Geography_Germany,0.23617723289633716
Gender_Male,0.21481851558323178
EngagementProductScore,0.17374109549936542
IsActiveMember,0.16732252517475665
BalanceSalaryRatio,0.1334175864515427
Balance,0.11397482876857
EstimatedSalary,0.07368969858569811
CreditScore,0.056242045605281496
IsZeroBalance,0.03761284475640412
AgeTenureInteraction,0.03631364818004701
ProductDensity,0.025622795060980173
HasCrCard,0.01451657898399138
Geography_Spain,0.014477826617538114
Tenure,0.001696820165975906
